医疗机构名称,ORG_NAME
使用中医诊疗设备标志,USE_TCMEQUIPMENT_FLAG
使用中医诊疗技术标志,USE_TCMTECHNOLOGY_FLAG
辨证施护标志,DIALECTIC_FLAG
出院中医诊断-主病名称,OUTP_DIAGNOSIS_CN_NAME
出院中医诊断-主病编码,OUTP_TCM_DIAGNOSIS_DISEASES_CODE
出院中医诊断-主病-入院病情代码,OUTHOS_MAIN_DISEASE_INHOS_CODE
出院中医诊断-主证名称,OUTP_DIAGNOSIS_TCM_SYMPTOM
出院中医诊断-主证编码,OUTP_TCM_DIAGNOSIS_SYNDROMES_CODE
出院中医诊断-主证-入院病情代码,OUTHOS_MAIN_SYMPTOM_INHOS_CODE
出院西医诊断-主要诊断名称,SERIOUS_DIAGNOSIS
出院西医诊断-主要诊断疾病编码,OUTP_WM_GIVEN_CODE
出院西医诊断-主要诊断-入院病情代码,OUTHOS_WM_MAIN_INHOS_CODE
出院西医诊断-其他诊断名称,OUTP_WM_DIAGNOSIS
出院西医诊断-其他诊断疾病编码,OUTP_WM_DIAGNOSIS_CODE
出院西医诊断-其他诊断-入院病情代码,OUTHOS_WM_OTHER_INHOS_CODE
损伤中毒的外部原因,INJURY_POSION_REASON
损伤中毒的外部原因疾病编码,INJURY_DISEASE_CODE
病理诊断名称,DIAG_RESULT
病理诊断疾病编码,PATHOLOGY_DIAGNOSTIC_CODE
病理号,PATHOLOGY_NO
药物过敏标志,DRUG_ALLERGY_FLAG
过敏药物,ALLERGY_DRUG
死亡患者尸检标志,INHOS_AUTOPSY_FLAG
ABO血型代码,ABO_BLOOD
Rh血型代码,RH_BLOOD_CODE
科主任签名,DEPT_DIRECTOR_SIGN
主任（副主任）医师签名,DIRECTOR_SIGN
主治医师签名,PHYSICIAN_DOCTOR_SIGN
住院医师签名,INP_DOCTOR_SIGN
责任护士签名,DUTY_NURSE_SIGN
进修医师签名,REFRESHER_DOCTOR_SIGN
实习医师签名,INTERNSHIP_DOCTOR_SIGN
编码员签名,CODER_SIGN
病案质量代码,MR_QUALITY_CODE
质控医师签名,QUALITYCONTROL_DOCTOR_SIGN
质控护士签名,QC_NURSE_SIGNATURE
质控日期,QUALITYCONTROL_DATE
手术及操作编码,OPERATION_CODE
手术及操作日期,OPERATION_START_DATETIME
手术级别代码,OPERATION_LEVEL_CODE
手术及操作名称,OPERATION_NAME
手术者姓名,OPERATION_DOCTOR_NAME
I助姓名,FIRST_ASSISTANT_NAME
II助姓名,SECONDE_ASSISTANT_NAME
乎术切口类别代码,OPERATION_TYPE_CODE
手术切口愈合等级代码,OPERAT_INCIS_HEAL_TYPE_CODE
麻醉方式代码,ANESTHESIA_METHOD_CODE
麻醉医师姓名,ANESTHESIA_DOCTOR_SIGNATURE
离院方式代码,DISHOSPITAL_WAY_CODE
拟接收医疗机构名称,RECEIVE_ORG_NAME
出院31天内再住院标志,OUTHOS_FLAG
出院31天内再住院目的,OUTHOS_PURPOSE
颅脑损伤患者入院前昏迷时间-d,HEADINJURY_INPBEFORECOMA_DAY
颅脑损伤患者入院前昏迷时间-h,HEADINJURY_INPBEFORECOMA__HOUR
颅脑损伤患者入院前昏迷时间-min,HEADINJURY_INPBEFOR_MIN
颅脑损伤患者入院后昏迷时间-d,HEADINJURY_INPAFTERCOMA_DAY
颅脑损伤患者入院后昏迷时间-h,HEADINJURY_INPAFTERCOMA_HOUR
颅脑损伤患者入院后昏迷时间-min,HEADINJURY_INPAFTERCOMA_MINUTE
住院总费用,INP_TOTALCOST
住院总费用-自付金额,INP_TOTALCOST_OWNPAY
综合医疗服务类-一般医疗服务费,MEDICAL_COMMONLYSERVICE_COST
综合医疗服务类般医疗服务费-中医辨证论治费,MEDICAL_TCDDIALECTIC_COST
综合医疗服务类-一般医疗服务费-中医辨证论治会诊费,MEDICAL_TCD_DISCOST
综合医疗服务类-一般治疗操作费,MEDICAL_COMMONLYOPERATION_COST
综合医疗服务类-护理费,MEDICAL_NURSING_COST
综合医疗服务类-其他费用,MEDICAL_OTHER_COST
诊断类-病理诊断费,DIAG_PATHOLOGY_COST
诊断类-实验室诊断费,DIAG_LABORATORY_COST
诊断类-影像学诊断费,IMAGING_DIAGNOSIS_EXPENSE
诊断类-临床诊断项目费,DIAG_CLINICAL_COST
治疗类-非手术治疗项目费,TREAT_NOOPERATION_ITEMCOST
治疗类-非手术治疗项目费-临床物理治疗费,TREAT_NOOPERATION_PHYSICSCOST
治疗类-手术治疗费,TREAT_OPERATIONTREAT_COST
治疗类-手术治疗费-麻醉费,TREAT_OPER_ANAESTHESIACOST
治疗类-手术治疗费-手术费,TREAT_OPERATIONTREAT_OPERCOST
康复类-康复费,RECOVERY_COST
中医类-中医诊断费,TCM_DIAG_COST
中医类-中医治疗费,TCM_TREAT_COST
中医类-中医治疗费-中医外治费,TCM_TREAT_EXTERNALCOST
中医类-中医治疗费-中医骨伤费,TCM_TREAT_BONEFRACTURECOST
中医类-中医治疗费-针刺与灸法费,TCM_TREAT_ACUPUNCTURECOST
中医类-中医治疗费-中医推拿治疗费,TCM_TREAT_MASSAGECOST
中医类-中医治疗费-中医肛肠治疗费,TCM_TREAT_ANORECTALCOST
中医类-中医治疗费-中医特殊治疗费,TCM_TREAT_SPECIALCOST
中医类-中医其他费,TCM_TREAT_OTHERCOST
中医类-中医其他费-中医特殊调配加工费,TCM_TREAT_DISPATCHCOST
中医类-中医其他费-辨证施膳费,TCM_TREAT_CATEREDCOST
西药类-西药费,DRUG_COST
西药类-西药费-抗菌药物费用,DRUG_ANTIBIOTICS_COST
中药类-中成药费,PROPRIETARY_CM_EXPENSE
中药类-中成药费-医疗机构中药制剂费,TCD_CPM_PREPARATIONCOST
中药类-中草药费,TCD_CHM_COST
血液和血液制品类-血费,BLOOD_COST
血液和血液制品类-白蛋白类制品费,BLOOD_ALBURMIN_COST
血液和血液制品类-球蛋白类制品费,BLOOD_GLOBULIN_COST
血液和血液制品类-凝血因子类制品费,BLOOD_COGULATIONFACTOR_COST
血液和血液制品类-细胞因子类制品费,BLOOD_CELLFACTOR_COST
耗材类-检查用一次性医用材料费,CHECK_DMM_EXPENSE
耗材类-治疗用一次性医用材料费,EXP_TREAT_COST
耗材类-手术用一次性医用材料费,EXP_OPERTION_COST
其他类-其他费,OTHER_COST
